Fire Catcher,3.5%
Firecrest,6.0%
Ginger Beard,4.2%
Goliath,4.7%
Hobgoblin,5.5%
Hobgoblin Gold,4.5%
Hobgoblin Halloween,5.2%
Imperial Red,4.7%
King Goblin,6.6%
Old Devil,4.7%
Osprey,6.5%
PlumDuff,5.0%
Pumpking,5.0%
Red Kite,4.5%
Revisionist IPA,4.8%
Snake's Bite,4.2%
Summer Breeze,4.0%
Three Lions,4.5%
Whirlygig,4.5%
White Wych,4.0%
Wych Craft,4.5%
Butty Bach,4.5%
Dorothy Goodbody's Golden ale,4.2%
Hereford Pale Ale,4.0%
Piddle in the Hole,4.0%
Brideshead Bitter,4.0%
Centurion's Ghost Ale,5.4%
Stocking Filler,4.8%
York Minister,4.2%
Yorkshire Terrier,4.2%
Acclaim,4.0%
Celebration GBG,5.6%
Champion,5.0%
Christmas Ale,5.0%
Christmas Pudding Ale,5.5%
Dirty Dicks,4.1%
Double Chocolate stout,5.0%
Elysium,4.0%
Golden Jubilee Beer,4.0%
Golden Zest,4.7%
Hummingbird,4.2%
Kew Brew,5.0%
London Gold,4.8%
Lords Beer,4.0%
Old Nick,7.2%
Ruby Star,5.5%
Special,4.5%
Special London,6.4%
Special Premium Ale,4.5%
St George's,5.0%
Summer Beer,4.5%
Triple 'A',4.5%
Waggle Dance,5.0%
Winter Warmer,5.0%
